"Discipline","Journal","Author position","Age","Standardised IF","n useable papers","n authors","Gender ratio of sample","Observed alpha","Lower 95 CI","Upper 95 CI","Alpha adjusted","Lower 95 CI","Upper 95 CI","Unadjusted p value","Adjusted p value"
"Urology","Int Urol Nephrol","Last authors","New",-0.145,85,431,31.787,0.232,0.032,0.439,0.233,0.014,0.427,0.001,0.012
"Cardiology","J Cardiovasc Electrophysiol","Last authors","New",0.124,85,359,25.07,-0.045,-0.163,0.071,-0.039,-0.147,0.09,0.619,0.783
"Unclassified","J Fluoresc","Last authors","New",-0.07,85,234,33.333,0.19,-0.006,0.381,0.19,-0.008,0.388,0.043,0.161
"Nursing","J Nurs Manag","Last authors","New",0.229,85,236,74.576,0.14,-0.018,0.322,0.143,-0.023,0.322,0.09,0.248
"Microbiology","Jundishapur J Microbiol","Last authors","New",NA,85,303,39.274,0.01,-0.164,0.2,0.005,-0.159,0.181,0.908,0.961
"Statistics as Topic","Risk Anal","Last authors","New",0.118,85,169,37.87,0.002,-0.177,0.191,0.002,-0.167,0.186,0.98,0.988
"Medicine","Am J Case Rep","Last authors","New",NA,84,239,36.82,-0.144,-0.293,-0.001,-0.144,-0.298,0.022,0.132,0.317
"Midwifery","Aust Nurs Midwifery","Last authors","New",NA,84,160,88.125,-0.071,-0.168,0.043,-0.065,-0.158,0.057,0.362,0.579
"Transplantation","Biol Blood Marrow Transplant","Last authors","New",0.273,84,562,45.018,0.049,-0.123,0.24,0.051,-0.137,0.222,0.45,0.649
"Cell Biology","Cell Metab","Last authors","New",0.688,84,277,40.794,-0.06,-0.265,0.166,-0.059,-0.272,0.169,0.59,0.761
"General Surgery","Cir Cir","Last authors","New",-1.05,84,329,28.875,-0.052,-0.207,0.112,-0.053,-0.209,0.117,0.443,0.644
"Medicine","Comput Methods Programs Biomed","Last authors","New",NA,84,224,27.232,0.172,-0.08,0.43,0.177,-0.078,0.455,0.136,0.323
"Endocrinology","Curr Diab Rep","Last authors","New",NA,84,190,66.842,0.203,0.041,0.369,0.201,0.028,0.36,0.013,0.079
"Drug Therapy","Curr Drug Targets","Last authors","New",0.116,84,288,47.222,-0.018,-0.186,0.156,-0.017,-0.194,0.156,0.831,0.914
"Psychology","Dev Psychol","Last authors","New",NA,84,212,62.736,0.158,0.021,0.298,0.154,0.007,0.308,0.032,0.135
"Audiology","Ear Hear","Last authors","New",0.082,84,252,51.587,0.186,0.027,0.337,0.185,0.017,0.33,0.012,0.076
"Ophthalmology","Indian J Ophthalmol","Last authors","New",-0.385,84,227,33.48,0.29,0.117,0.442,0.295,0.13,0.455,0,0
"Nutritional Sciences","J Acad Nutr Diet","Last authors","New",0.179,84,250,80.4,0.183,0.023,0.344,0.185,0.014,0.359,0.007,0.054
"Vascular Diseases","J Clin Hypertens (Greenwich)","Last authors","New",NA,84,338,42.012,0.201,0.058,0.344,0.202,0.063,0.348,0.009,0.063
"Endocrinology","J Diabetes Sci Technol","Last authors","New",NA,84,290,41.724,0.109,-0.084,0.293,0.105,-0.069,0.295,0.228,0.442
"General Surgery","J Neurointerv Surg","Last authors","New",NA,84,359,12.813,0.135,-0.005,0.273,0.142,0,0.278,0.046,0.165
"Traumatology","J Neurotrauma","Last authors","New",0.414,84,443,37.246,0.123,-0.023,0.273,0.127,-0.018,0.282,0.066,0.209
"Substance-Related Disorders","J Subst Abuse Treat","Last authors","New",NA,84,337,57.27,0.004,-0.129,0.143,0.003,-0.134,0.128,0.956,0.982
"Women's Health","J Womens Health (Larchmt)","Last authors","New",NA,84,296,73.311,0.112,-0.021,0.243,0.119,-0.001,0.245,0.068,0.213
"Physical and Rehabilitation Medicine","Man Ther","Last authors","New",0.002,84,279,42.652,0.217,0.072,0.349,0.22,0.08,0.36,0.004,0.037
"Immunology","Mol Immunol","Last authors","New",0.021,84,306,48.039,0.044,-0.106,0.202,0.045,-0.118,0.205,0.616,0.782
"Sexually Transmitted Diseases","Sex Transm Dis","Last authors","New",0.12,84,370,64.324,0.051,-0.07,0.171,0.054,-0.071,0.18,0.371,0.588
"Unclassified","Sleep Breath","Last authors","New",0.094,84,368,39.13,0.093,-0.041,0.237,0.092,-0.044,0.236,0.168,0.37
"General Surgery","Surg Neurol Int","Last authors","New",NA,84,278,23.381,0.078,-0.084,0.251,0.081,-0.085,0.258,0.363,0.58
"Microbiology","Vet Microbiol","Last authors","New",-0.043,84,418,53.349,0.059,-0.061,0.192,0.061,-0.066,0.188,0.322,0.542
"Pharmacology","Adv Drug Deliv Rev","Last authors","New",0.752,83,168,43.452,0.084,-0.147,0.299,0.083,-0.14,0.27,0.437,0.643
"Cell Biology","Bioessays","Last authors","New",0.125,83,142,44.366,0.245,0.042,0.456,0.252,0.007,0.455,0.022,0.108
"Dermatology","Dermatol Online J","Last authors","New",NA,83,222,50.901,0.019,-0.151,0.176,0.013,-0.148,0.181,0.801,0.903
"Drug Therapy","Drug Des Devel Ther","Last authors","New",0.094,83,315,43.492,-0.052,-0.223,0.116,-0.053,-0.227,0.126,0.515,0.707
"Psychiatry","Eur Child Adolesc Psychiatry","Last authors","New",NA,83,376,57.181,0.136,0.015,0.263,0.139,0.022,0.253,0.03,0.129
"Health Services Research","Implement Sci","Last authors","New",0.252,83,518,62.355,-0.005,-0.113,0.104,-0.005,-0.12,0.11,0.932,0.973
"Psychophysiology","Int J Psychophysiol","Last authors","New",-0.007,83,260,46.154,-0.054,-0.21,0.113,-0.054,-0.212,0.112,0.46,0.66
"Genetics","J Assist Reprod Genet","Last authors","New",-0.213,83,356,54.213,0.151,0.02,0.285,0.154,0.01,0.288,0.015,0.087
"Pulmonary Medicine","J Asthma","Last authors","New",-0.139,83,341,51.026,-0.018,-0.161,0.118,-0.017,-0.161,0.127,0.812,0.909
"Brain","J Cereb Blood Flow Metab","Last authors","New",0.224,83,444,33.333,-0.017,-0.15,0.13,-0.016,-0.15,0.137,0.793,0.901
"Medicine","J Forensic Leg Med","Last authors","New",-0.365,83,274,42.701,0.064,-0.099,0.236,0.058,-0.109,0.211,0.432,0.641
"Gynecology","J Pediatr Adolesc Gynecol","Last authors","New",-0.089,83,296,67.905,0.151,-0.003,0.304,0.148,0.007,0.3,0.027,0.122
"Medicine","Med J Islam Repub Iran","Last authors","New",NA,83,301,33.887,0.144,0.013,0.29,0.145,0.01,0.275,0.022,0.108
"Medicine","Med Sci Monit","Last authors","New",-0.157,83,364,39.011,0.093,-0.058,0.248,0.094,-0.045,0.241,0.149,0.342
"Neurology","Neurobiol Learn Mem","Last authors","New",0.112,83,256,48.438,0.184,0.019,0.346,0.183,0.012,0.353,0.022,0.108
"Pediatrics","Pediatr Res","Last authors","New",0.258,83,393,50.382,0.179,0.053,0.296,0.179,0.062,0.302,0.008,0.059
"Psychology","Q J Exp Psychol (Hove)","Last authors","New",NA,83,167,49.701,0.006,-0.172,0.189,0.006,-0.18,0.186,0.958,0.982
"Multidisciplinary","ScientificWorldJournal","Last authors","New",NA,83,242,42.975,0.074,-0.091,0.252,0.076,-0.094,0.254,0.351,0.569
"Unclassified","Appl Spectrosc","Last authors","New",-0.019,82,267,32.21,0.141,-0.027,0.316,0.141,-0.033,0.306,0.087,0.245
"Biophysics","Arch Biochem Biophys","Last authors","New",0.052,82,293,45.051,-0.083,-0.238,0.076,-0.08,-0.231,0.081,0.298,0.516
"Biochemistry","Biol Trace Elem Res","Last authors","New",-0.238,82,309,51.78,0.111,-0.018,0.252,0.111,-0.031,0.248,0.114,0.292
"Multidisciplinary","Chaos","Last authors","New",-0.019,82,163,15.951,-0.123,-0.214,-0.034,-0.108,-0.202,-0.023,0.292,0.509
"Pharmacology","Drug Test  Anal","Last authors","New",NA,82,306,36.601,-0.007,-0.171,0.145,-0.004,-0.155,0.14,0.933,0.974
"Neurology","Front Syst Neurosci","Last authors","New",NA,82,188,35.638,0.063,-0.116,0.262,0.066,-0.128,0.26,0.534,0.722
"General Surgery","J Am Acad Orthop Surg","Last authors","New",0.298,82,186,12.366,-0.074,-0.169,0.031,-0.076,-0.165,0.026,0.278,0.496
"Medicine","J Am Board Fam Med","Last authors","New",-0.006,82,281,55.872,0.089,-0.071,0.246,0.093,-0.065,0.245,0.194,0.401
"Medicine","J Med Virol","Last authors","New",-0.004,82,425,56.235,0.22,0.106,0.328,0.22,0.112,0.336,0,0
"Orthopedics","J Orthop Res","Last authors","New",0.188,82,370,24.865,0.118,-0.036,0.277,0.12,-0.022,0.275,0.063,0.202
"Psychiatry","J Psychosom Res","Last authors","New",NA,82,349,56.734,0.11,-0.03,0.239,0.111,-0.017,0.243,0.097,0.261
"Unclassified","Mitochondrial DNA A DNA MappSeq Anal","Last authors","New",NA,82,247,36.032,-0.111,-0.249,0.048,-0.11,-0.249,0.036,0.143,0.333
"Neoplasms","Oncologist","Last authors","New",0.175,82,369,43.631,-0.074,-0.238,0.104,-0.076,-0.246,0.112,0.34,0.56
"Pharmacology","Pak J Pharm Sci","Last authors","New",-0.678,82,234,42.308,0.148,-0.02,0.314,0.144,-0.031,0.315,0.054,0.184
"Gastroenterology","Pancreas","Last authors","New",-0.013,82,391,37.34,0.242,0.047,0.442,0.243,0.043,0.431,0.002,0.021
"Pharmacology","Pharmacoepidemiol Drug Saf","Last authors","New",0.022,82,384,45.312,0.007,-0.132,0.143,0.009,-0.132,0.142,0.926,0.969
"Medicine","Rev Peru Med Exp Salud Publica","Last authors","New",NA,82,255,36.863,-0.054,-0.21,0.108,-0.053,-0.206,0.112,0.5,0.693
"Psychiatry","Schizophr Bull","Last authors","New",0.443,82,490,38.776,0.079,-0.075,0.246,0.078,-0.072,0.235,0.278,0.496
"Medicine","Ther Clin Risk Manag","Last authors","New",NA,82,258,40.31,0.218,0.043,0.376,0.22,0.044,0.398,0.018,0.097
"Psychology","Trends Cogn Sci (Regul Ed)","Last authors","New",NA,82,153,29.412,0.267,0.08,0.466,0.271,0.066,0.478,0.007,0.054
"Medicine","Adv Healthc Mater","Last authors","New",0.456,81,353,37.394,-0.137,-0.261,-0.018,-0.135,-0.252,-0.015,0.045,0.164
"Neurology","Ann Neurol","Last authors","New",0.559,81,545,40,0.073,-0.068,0.219,0.068,-0.067,0.204,0.31,0.53
"Psychiatry","Australas Psychiatry","Last authors","New",-0.584,81,204,44.608,0.02,-0.168,0.188,0.024,-0.149,0.198,0.841,0.923
"Unclassified","BMJ Qual Saf","Last authors","New",0.425,81,276,56.522,0.102,-0.058,0.262,0.102,-0.044,0.26,0.182,0.386
"Neurology","Can J Neurol Sci","Last authors","New",NA,81,286,40.21,0.189,0.044,0.335,0.194,0.041,0.335,0.024,0.113
"Pediatrics","Child Dev","Last authors","New",NA,81,230,58.696,0.167,0.019,0.327,0.169,0.022,0.308,0.036,0.145
"Metabolism","Curr Obes Rep","Last authors","New",NA,81,172,63.372,0.298,0.13,0.481,0.296,0.129,0.458,0.001,0.012
"Medicine","Duodecim","Last authors","New",NA,81,171,56.725,0.14,-0.037,0.314,0.14,-0.051,0.332,0.127,0.309
"Dermatology","Exp Dermatol","Last authors","New",0.128,81,329,48.936,0.229,0.085,0.359,0.23,0.082,0.369,0.001,0.012
"Toxicology","Food Chem Toxicol","Last authors","New",0.167,81,362,51.657,0.131,-0.008,0.271,0.129,-0.007,0.261,0.044,0.162
"Endocrinology","Front Endocrinol (Lausanne)","Last authors","New",NA,81,250,51.6,0.157,-0.029,0.342,0.16,-0.024,0.342,0.087,0.245
"Public Health","Health Qual Life Outcomes","Last authors","New",0.046,81,341,49.853,0.164,0.025,0.3,0.166,0.029,0.3,0.011,0.071
"Molecular Biology","J Mol Model","Last authors","New",-0.354,81,197,31.472,0.128,-0.061,0.312,0.127,-0.039,0.326,0.114,0.292
"Psychiatry","J Neurol Neurosurg Psychiatr","Last authors","New",NA,81,481,41.58,0.014,-0.142,0.172,0.015,-0.14,0.165,0.863,0.935
"Substance-Related Disorders","J Stud Alcohol Drugs","Last authors","New",-0.068,81,269,52.045,0.093,-0.061,0.249,0.092,-0.054,0.25,0.198,0.406
"Multidisciplinary","MMWR Morb Mortal Wkly Rep","Last authors","New",NA,81,408,59.069,0.04,-0.087,0.173,0.042,-0.089,0.173,0.509,0.702
"Hematology","Blood Coagul Fibrinolysis","Last authors","New",-0.321,80,363,44.077,0.237,0.08,0.382,0.238,0.106,0.389,0,0
"Nutritional Sciences","Crit Rev Food Sci Nutr","Last authors","New",0.361,80,234,52.991,0.068,-0.106,0.233,0.068,-0.118,0.254,0.446,0.647
"Gynecology","Int J Gynecol Cancer","Last authors","New",0.031,80,420,43.571,0.013,-0.127,0.152,0.015,-0.127,0.154,0.829,0.913
"Medicine","J Appl Clin Med Phys","Last authors","New",-0.145,80,282,20.922,0.046,-0.115,0.218,0.048,-0.108,0.232,0.523,0.714
"Neurology","J Clin Exp Neuropsychol","Last authors","New",-0.196,80,281,47.687,0.086,-0.079,0.247,0.091,-0.077,0.249,0.281,0.499
"General Surgery","J Laparoendosc Adv Surg Tech","Last authors","New",-0.074,80,305,21.967,-0.007,-0.215,0.269,-0.002,-0.213,0.26,0.941,0.976
"Nutritional Sciences","Nutrition","Last authors","New",0.075,80,340,48.529,0.158,-0.008,0.308,0.158,-0.006,0.318,0.017,0.094
"Neoplasms","Radiat Oncol","Last authors","New",-0.113,80,466,34.764,0.079,-0.066,0.213,0.08,-0.06,0.218,0.231,0.445
"Medicine","Reprod Biomed Online","Last authors","New",0.142,80,302,49.007,0.167,0.024,0.306,0.164,0.026,0.317,0.026,0.119
"Medicine","Swiss Med Wkly","Last authors","New",-0.115,80,324,33.951,0.265,0.113,0.439,0.265,0.108,0.418,0,0
"Vascular Diseases","Am J Hypertens","Last authors","New",0.083,79,394,43.401,0.152,-0.001,0.303,0.151,0.003,0.298,0.05,0.175
"Medicine","Am J Med Sci","Last authors","New",-0.107,79,219,36.986,0.257,0.016,0.486,0.257,0.046,0.475,0.01,0.067
"Botany","BMC Plant Biol","Last authors","New",-0.033,79,372,46.237,0.021,-0.105,0.135,0.023,-0.095,0.148,0.765,0.886
"Ophthalmology","Can J Ophthalmol","Last authors","New",-0.137,79,213,32.864,0.019,-0.133,0.174,0.018,-0.145,0.169,0.824,0.911
"Botany","Curr Opin Plant Biol","Last authors","New",0.238,79,118,33.898,0.038,-0.167,0.238,0.037,-0.166,0.255,0.713,0.857
"Bioinformatics","IEEE/ACM Trans Comput Biol Bioinform","Last authors","New",NA,79,171,20.468,0.131,-0.132,0.411,0.142,-0.13,0.441,0.22,0.435
"Allergy and Immunology","Int Forum Allergy Rhinol","Last authors","New",-0.132,79,334,33.533,0.123,-0.05,0.288,0.126,-0.053,0.306,0.154,0.348
"Neoplasms","J Cancer Educ","Last authors","New",-0.369,79,341,69.208,0.24,0.121,0.37,0.242,0.12,0.367,0,0
"Gastroenterology","J Crohns Colitis","Last authors","New",0.368,79,482,37.759,0.012,-0.149,0.174,0.012,-0.139,0.183,0.887,0.946
"Environmental Health","J Environ Qual","Last authors","New",-0.054,79,246,37.805,-0.046,-0.198,0.112,-0.049,-0.189,0.117,0.564,0.745
"Medicine","J Enzyme Inhib Med Chem","Last authors","New",NA,79,396,44.444,0.067,-0.066,0.209,0.065,-0.062,0.216,0.277,0.496
"Primary Health Care","J Fam Pract","Last authors","New",-0.393,79,139,43.885,0.059,-0.132,0.24,0.061,-0.128,0.241,0.543,0.729
"Cardiology","J Mol Cell Cardiol","Last authors","New",0.321,79,306,40.196,0.063,-0.089,0.198,0.071,-0.079,0.222,0.475,0.672
"Orthopedics","J Orthop Sports Phys Ther","Last authors","New",0.147,79,236,42.373,0.305,0.14,0.46,0.305,0.141,0.471,0,0
"Microbiology","Microbiol Spectr","Last authors","New",NA,79,120,35.833,0.147,-0.094,0.385,0.145,-0.091,0.365,0.188,0.393
"Neurology","Neuroimage Clin","Last authors","New",0.161,79,446,35.426,0.12,0.006,0.23,0.123,0.004,0.238,0.055,0.185
"Pediatrics","Pediatr Int","Last authors","New",-0.244,79,348,42.241,0.196,0.022,0.359,0.198,0.033,0.366,0.005,0.043
"Biochemistry","Protein Sci","Last authors","New",-0.01,79,223,37.22,0.165,-0.029,0.377,0.167,-0.048,0.36,0.07,0.215
"Medicine","Radiol Med","Last authors","New",-0.122,79,523,38.05,0.018,-0.157,0.192,0.02,-0.142,0.184,0.797,0.901
"Pharmacology","Regul Toxicol Pharmacol","Last authors","New",-0.094,79,276,42.029,0.23,0.096,0.372,0.232,0.089,0.372,0.003,0.029
"Traumatology","Scand J Trauma Resusc Emerg Med","Last authors","New",0.136,79,326,34.356,-0.011,-0.179,0.177,-0.01,-0.178,0.169,0.886,0.946
"Traumatology","Traffic Inj Prev","Last authors","New",-0.168,79,216,33.796,-0.064,-0.214,0.102,-0.06,-0.216,0.085,0.41,0.623
"Orthodontics","Angle Orthod","Last authors","New",-0.049,78,256,33.984,0.072,-0.112,0.253,0.067,-0.105,0.254,0.387,0.601
"General Surgery","Ann Ital Chir","Last authors","New",-0.59,78,401,25.686,0.044,-0.087,0.195,0.044,-0.08,0.191,0.549,0.733
"Anti-Infective Agents","Antibiotics (Basel)","Last authors","New",NA,78,231,42.857,0.266,0.09,0.427,0.267,0.104,0.438,0.004,0.037
"Pediatrics","Arch Argent Pediatr","Last authors","New",-0.458,78,357,62.745,0.063,-0.114,0.213,0.064,-0.096,0.227,0.38,0.595
"Toxicology","Chem Res Toxicol","Last authors","New",0.093,78,298,39.597,-0.058,-0.214,0.099,-0.058,-0.213,0.089,0.468,0.667
"Diagnostic Imaging","Clin Imaging","Last authors","New",-0.344,78,318,42.138,0.203,0.044,0.375,0.203,0.034,0.363,0.002,0.021
"Geriatrics","Clin Interv Aging","Last authors","New",-0.053,78,290,44.828,0.052,-0.098,0.194,0.057,-0.077,0.209,0.475,0.672
"Anesthesiology","Curr Opin Anaesthesiol","Last authors","New",NA,78,130,20.769,0.08,-0.097,0.288,0.084,-0.093,0.291,0.382,0.597
"Biology","Expert Opin Biol Ther","Last authors","New",0.18,78,229,35.808,0.179,-0.061,0.421,0.183,-0.064,0.414,0.094,0.256
"Pathology","Hum Pathol","Last authors","New",0.121,78,393,49.109,-0.042,-0.184,0.093,-0.043,-0.17,0.098,0.535,0.722
"Anesthesiology","Indian J Anaesth","Last authors","New",NA,78,187,47.594,-0.062,-0.244,0.118,-0.064,-0.235,0.117,0.473,0.671
"Nutritional Sciences","Int J Behav Nutr Phys Act","Last authors","New",0.223,78,387,62.274,0.043,-0.062,0.154,0.041,-0.06,0.148,0.471,0.669
"Nursing","Int J Nurs Stud","Last authors","New",0.545,78,261,72.414,0.074,-0.057,0.217,0.075,-0.054,0.221,0.309,0.529
"Health Services","J Health Commun","Last authors","New",NA,78,224,71.429,0.113,-0.044,0.265,0.111,-0.046,0.257,0.133,0.319
"Pediatrics","J Pediatr (Rio J)","Last authors","New",NA,78,223,62.332,0.181,0.012,0.35,0.183,0.012,0.353,0.021,0.105
"Unclassified","J Youth Adolesc","Last authors","New",NA,78,185,75.135,-0.093,-0.228,0.042,-0.088,-0.24,0.05,0.204,0.414
"Medicine","Lasers Med Sci","Last authors","New",0.086,78,325,40.923,0.091,-0.054,0.244,0.089,-0.046,0.239,0.156,0.352
"Pharmacology","Pharmacotherapy","Last authors","New",-0.028,78,258,55.426,0.082,-0.075,0.226,0.085,-0.065,0.233,0.289,0.505
"Biochemistry","Phytochemistry","Last authors","New",-0.049,78,309,42.718,-0.071,-0.195,0.07,-0.071,-0.201,0.052,0.33,0.548
"Nursing","Rev Esc Enferm USP","Last authors","New",-0.389,78,226,82.301,0.198,0.015,0.394,0.197,-0.003,0.411,0.011,0.071
"Cell Biology","Stem Cells","Last authors","New",0.221,78,441,44.444,0.051,-0.077,0.189,0.052,-0.086,0.191,0.427,0.64
"Medicine","Ultrasound Med Biol","Last authors","New",0.057,78,354,29.096,0.036,-0.084,0.155,0.04,-0.076,0.162,0.533,0.722
"Medicine","Asian J Androl","Last authors","New",0.118,77,171,17.544,0.295,-0.147,0.618,0.324,-0.084,0.642,0.028,0.124
"Medicine","BMC Med Inform Decis Mak","Last authors","New",0.005,77,289,44.637,0.156,0.022,0.294,0.152,0.004,0.289,0.039,0.151
"Behavioral Sciences","Behav Brain Sci","Last authors","New",0.893,77,130,34.615,0.279,0.073,0.476,0.289,0.079,0.48,0.006,0.049
"Neurology","Br J Neurosurg","Last authors","New",-0.398,77,249,23.293,0.366,0.01,0.701,0.375,0.003,0.716,0.005,0.043
"Dentistry","Braz Dent","Last authors","New",NA,77,360,50,0.118,-0.012,0.247,0.118,-0.016,0.248,0.047,0.167
"Primary Health Care","Can Fam Physician","Last authors","New",NA,77,206,50.971,0.021,-0.159,0.201,0.024,-0.152,0.203,0.797,0.901
"Neoplasms","Cancer Lett","Last authors","New",0.272,77,358,46.927,0.074,-0.081,0.235,0.078,-0.075,0.239,0.319,0.538
"Chemistry","Carbohydr Res","Last authors","New",-0.312,77,249,38.554,0.078,-0.097,0.26,0.078,-0.089,0.255,0.385,0.6
"Environmental Health","Conserv Biol","Last authors","New",0.226,77,244,34.426,0.165,-0.027,0.348,0.162,-0.039,0.356,0.059,0.196
"Ophthalmology","Eur J Ophthalmol","Last authors","New",-0.298,77,296,34.459,0.134,-0.028,0.289,0.138,-0.018,0.284,0.112,0.288
"Immunology","Expert Rev Clin Immunol","Last authors","New",-0.093,77,202,46.04,-0.005,-0.193,0.191,-0.004,-0.173,0.197,0.951,0.981
"Gastroenterology","Expert Rev Gastroenterol Hepatol","Last authors","New",-0.004,77,206,42.718,0.192,-0.049,0.421,0.196,-0.039,0.427,0.089,0.247
"Medicine","Health Commun","Last authors","New",NA,77,170,74.118,0.056,-0.1,0.198,0.058,-0.098,0.212,0.47,0.669
"Pharmacology","Hosp Pharm","Last authors","New",NA,77,158,38.608,-0.039,-0.254,0.187,-0.046,-0.24,0.166,0.721,0.862
"Medicine","IEEE Trans Biomed Eng","Last authors","New",0.088,77,262,20.611,0.016,-0.139,0.167,0.021,-0.116,0.176,0.823,0.911
"Unclassified","Int J Mycobacteriol","Last authors","New",NA,77,239,46.025,0.228,0.066,0.386,0.23,0.076,0.39,0.005,0.043
"Unclassified","Int J Sports Phys Ther","Last authors","New",NA,77,218,36.239,0.111,-0.055,0.276,0.112,-0.052,0.278,0.157,0.354
"Traumatology","Int Wound","Last authors","New",NA,77,306,35.294,0.484,0.321,0.664,0.486,0.302,0.665,0,0
"Psychiatry","J Abnorm Child Psychol","Last authors","New",NA,77,239,63.598,0.063,-0.09,0.211,0.065,-0.078,0.221,0.404,0.619
"Dentistry","J Dent Educ","Last authors","New",-0.268,77,226,61.947,0.337,0.2,0.473,0.339,0.197,0.488,0,0
"Medicine","J Gerontol A Biol Sci Med Sci","Last authors","New",NA,77,395,49.62,0.132,0.005,0.247,0.132,0.003,0.266,0.041,0.155
"Pharmacology","J Pharmacol Exp Ther","Last authors","New",0.133,77,356,43.539,-0.061,-0.201,0.084,-0.061,-0.203,0.085,0.43,0.64
"Medicine","Lancet Respir Med","Last authors","New",NA,77,216,36.574,0.295,0.064,0.529,0.303,0.053,0.534,0.007,0.054
"Unclassified","Mar Environ Res","Last authors","New",0.168,77,303,51.155,-0.069,-0.196,0.051,-0.062,-0.181,0.058,0.309,0.529
"Microbiology","Microb Ecol","Last authors","New",0.058,77,317,41.009,0.058,-0.077,0.206,0.056,-0.09,0.194,0.388,0.603
"Parasitology","Parasitology","Last authors","New",0.133,77,265,47.925,0.111,-0.067,0.28,0.114,-0.072,0.294,0.18,0.385
"Public Health","Public Health Rep","Last authors","New",-0.059,77,315,63.81,0.138,0.01,0.271,0.143,0.016,0.275,0.034,0.14
"Molecular Biology","RNA","Last authors","New",0.126,77,270,42.963,-0.095,-0.257,0.062,-0.093,-0.24,0.063,0.255,0.469
"Pulmonary Medicine","Respiration","Last authors","New",0.016,77,338,39.349,0.133,-0.019,0.3,0.134,-0.02,0.297,0.061,0.199
"Biotechnology","Appl Biochem Biotechnol","Last authors","New",-0.231,76,256,49.219,-0.002,-0.188,0.178,-0.008,-0.184,0.173,0.979,0.988
"Psychiatry","Autism Res","Last authors","New",0.037,76,350,59.143,0.049,-0.073,0.172,0.047,-0.074,0.171,0.446,0.647
"Allergy and Immunology","Autoimmun Rev","Last authors","New",0.426,76,329,44.681,0.062,-0.141,0.275,0.059,-0.146,0.255,0.546,0.73
"Medicine","BMC Med Res Methodol","Last authors","New",0.181,76,269,52.788,0.168,0.034,0.313,0.171,0.021,0.323,0.019,0.099
"Molecular Biology","Chem Biol Interact","Last authors","New",NA,76,320,55.625,0.028,-0.104,0.167,0.026,-0.119,0.167,0.681,0.834
"Medicine","Cleve Clin J Med","Last authors","New",NA,76,131,38.931,0.15,-0.067,0.365,0.154,-0.061,0.378,0.173,0.376
"Transplantation","Clin Transplant","Last authors","New",-0.062,76,415,30.602,0.085,-0.07,0.249,0.088,-0.071,0.259,0.242,0.456
"Neurology","Curr Opin Neurobiol","Last authors","New",0.38,76,109,38.532,0.121,-0.116,0.374,0.128,-0.096,0.371,0.284,0.502
"Biology","DNA Repair (Amst)","Last authors","New",NA,76,194,52.577,0.103,-0.172,0.346,0.108,-0.163,0.36,0.407,0.621
"Cell Biology","Diagn Cytopathol","Last authors","New",-0.559,76,252,53.175,0.121,-0.042,0.279,0.122,-0.04,0.285,0.144,0.334
"Geriatrics","Gerontologist","Last authors","New",NA,76,306,70.261,0.04,-0.081,0.179,0.039,-0.085,0.166,0.553,0.735
"Pediatrics","Hosp Pediatr","Last authors","New",NA,76,244,55.328,0.131,-0.031,0.288,0.132,-0.017,0.298,0.131,0.316
"Allergy and Immunology","Immunotherapy","Last authors","New",-0.184,76,196,46.939,-0.022,-0.23,0.18,-0.027,-0.228,0.182,0.829,0.913
"Dermatology","Indian Dermatol Online","Last authors","New",NA,76,174,44.828,0.06,-0.116,0.255,0.06,-0.122,0.239,0.515,0.707
"Dentistry","Int J Oral Maxillofac Implants","Last authors","New",0.082,76,265,26.792,0.015,-0.142,0.187,0.014,-0.132,0.182,0.854,0.93
"Psychology","J Abnorm Psychol","Last authors","New",NA,76,266,55.263,0.015,-0.161,0.195,0.015,-0.164,0.184,0.856,0.931
"Psychopharmacology","J Clin Psychopharmacol","Last authors","New",0.081,76,271,42.804,-0.061,-0.217,0.091,-0.066,-0.232,0.088,0.436,0.643
"Environmental Health","J Environ Radioact","Last authors","New",-0.093,76,301,34.884,0.104,-0.069,0.297,0.112,-0.063,0.309,0.275,0.494
"Health Services","J Health Care Poor Underserved","Last authors","New",NA,76,247,67.206,0.065,-0.108,0.232,0.069,-0.101,0.237,0.376,0.593
"Communicable Diseases","J Infect Dev Ctries","Last authors","New",-0.392,76,356,48.596,0.158,0.007,0.297,0.157,0.02,0.295,0.016,0.089
"Medicine","J Med Microbiol","Last authors","New",0.051,76,346,53.757,0.212,0.103,0.321,0.211,0.083,0.326,0,0
"Pediatrics","J Pediatr Nurs","Last authors","New",-0.18,76,198,83.838,0.123,0.002,0.248,0.125,0.006,0.25,0.108,0.281
"Radiology","Radiographics","Last authors","New",0.085,76,290,35.517,0.256,0.089,0.415,0.257,0.095,0.427,0,0
"Pediatrics","Rev Chil Pediatr","Last authors","New",NA,76,265,58.491,0.143,-0.01,0.296,0.146,-0.014,0.291,0.067,0.211
"Radiology","Acta Radiol","Last authors","New",-0.014,75,358,27.095,0.139,0.021,0.251,0.13,0.012,0.236,0.046,0.165
"Medicine","Aerosp Med Hum Perform","Last authors","New",NA,75,224,32.143,-0.036,-0.245,0.184,-0.042,-0.254,0.176,0.743,0.875
"General Surgery","Am J Surg Pathol","Last authors","New",0.508,75,361,46.537,-0.08,-0.276,0.127,-0.079,-0.261,0.108,0.329,0.548
